gene_symbol	D_meta	P_diffusion	group
PARP1	-0.8463263415526002	0.002765807960029129	background
CTBP2	2.0087228243853645	0.0027652226453611884	CAP_up
SMAD3	-3.772152364830391	0.002763430823100307	CAP_down
BCL2L1	-1.089584687623876	0.00276325814366696	CAP_down
KCNH2	-0.0685867865132253	0.0027618698073293185	background
HSP90AB1	-0.1464171200408133	0.0027608042863498314	background
ADRB2	-1.7710489107369765	0.002759897823955049	CAP_down
HCAR2	5.124743038585237	0.00275607841306423	CAP_up
DAPK1	0.1829451357966932	0.0027527489683454795	background
MAPK9	-0.37494949691426	0.0027489375994882138	background
GSTP1	-0.0778615489799367	0.002746144479165818	background
ALPL	36.29318307752639	0.0027442195912683104	CAP_up
EP300	3.1368796175707856	0.002743078804502292	CAP_up
MAP3K7	0.0199879049271267	0.002741863575325045	background
MMP14	0.24896293989544	0.002739854295885482	background
HDAC1	-0.0139092063031892	0.002739533853289268	background
MPG	0.211980501269019	0.002739140933033058	background
HDAC2	-0.0337509732966977	0.0027323281817792115	background
CXCL8	0.3941913686600018	0.0027318782807292624	background
EHMT2	-0.6725884376945802	0.002728044170739419	background
BCR	0.1139179125009183	0.0027264131395942862	background
HSPA1A	9.058350014448372	0.00272421922780939	CAP_up
XIAP	0.7606111380344147	0.0027186990668928435	background
SYK	5.35872109226162	0.002718023833108181	CAP_up
MPO	10.922805297745882	0.0027172230933817988	CAP_up
POLB	0.3373783267196455	0.0027170789146655485	background
PRKCA	-2.441881639057287	0.002714668570302353	CAP_down
ANPEP	13.2171468389439	0.002714518013441895	CAP_up
PIM1	0.2537302034451948	0.0027144784425059275	background
PTAFR	3.6844022606397298	0.0027144479293107378	CAP_up
APP	0.7504062975486834	0.00271438416825702	background
CA2	0.3198051069791586	0.0027133355325956324	background
PRMT1	-0.3563093190606047	0.0027096260072234164	background
CCR4	-0.9242177197219222	0.002706719155823539	background
TLR2	10.03130433261311	0.0027063785270290954	CAP_up
ODC1	-0.8205407526063416	0.0026990413628198654	background
APEX1	-2.029687553395318	0.0026986176324180888	CAP_down
CD38	0.3654759955573128	0.002696534977847156	background
PTK2B	7.310080070127613	0.00269595214694514	CAP_up
PNP	1.0362592495091318	0.002693635825070049	CAP_up
DNMT1	-1.386105801478021	0.002691128750515953	CAP_down
KAT2B	0.1640898594589212	0.002691032292654319	background
CDC25B	-2.947050788821812	0.0026881490682638216	CAP_down
DNMT3B	-0.048023788739449	0.0026857713123283997	background
PTPRS	-11.684818441111718	0.0026792577380087067	CAP_down
ALDH2	0.2550001443878973	0.0026780572035332625	background
TNKS	-0.103970148742662	0.002675829823379451	background
HSPA8	-1.7768904600065438	0.0026739741434946445	CAP_down
NT5E	-12.612160995744423	0.0026735044638556975	CAP_down
CA1	7.228239441831826	0.002670295586235942	CAP_up
GRIK5	0.1031040463443543	0.0026687594389163565	background
AOC3	3.1804118765575664	0.002668312831113393	CAP_up
RORC	-12.105583856092698	0.002667582300682594	CAP_down
PDE4D	-0.357572620004054	0.002666998056536087	background
AURKA	6.649173468111759	0.002660286352562439	CAP_up
GPR35	-0.225733535641474	0.002659914143157478	background
CA6	-5.494252151112398	0.002659712957273303	CAP_down
EPHB4	0.128607643592738	0.0026568489616535743	background
MGLL	0.3960334371590985	0.0026564373092942246	background
HKDC1	-4.67786753293958	0.0026547147792813264	CAP_down
TOP2A	4.8842193837484	0.0026538584866128328	CAP_up
PHF8	0.0409310304199973	0.002652224711058346	background
CDK6	-0.7435097104526827	0.002651235089669961	background
FASN	-0.1516463546983722	0.002650031451016349	background
DHFR	5.199669405368779	0.0026387272724601035	CAP_up
GLO1	-0.3113523515906433	0.0026369265725904654	background
IDO1	-1.8245582362800847	0.0026348177734878448	CAP_down
CSNK2A1	-0.201276641804143	0.0026326201285420633	background
HMGCR	3.508624452324081	0.002632300887892199	CAP_up
