library	input_set	Term	Adjusted.P.value	P.value	Odds.Ratio	Combined.Score	Genes
Reactome_2022	CAP_up	SUMOylation R-HSA-2990846	0.000365569139462532	5.06038426940975e-05	2.09988819320214	20.7710084531198	TOP2A;HDAC4;SP100;PCNA;ZNF350;CDCA8;BRCA1;AURKB;AURKA;HDAC7;RXRA;SUMO1;RAD21;EP300;ZBED1;TRIM27;IKBKG;NUP214;CBX8;NCOA1;CREBBP;PHC2;SEC13;NR1H2;MRTFA;SENP2;PML;PIAS1;NFKB2;HIPK2;NFKBIA;RNF168;HNRNPK;STAG2;H4C15;NUP50;SP3;MDM2;RARA;BIRC5;PPARG;HNRNPC;TOP1;NUP58
Reactome_2022	CAP_up	Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933	0.000379239647264521	5.27224569287789e-05	2.36723917695205	23.3184162832124	LILRA6;IFITM1;SIGLEC9;ITGB2;ICAM3;LILRA2;TREM1;ICAM1;LILRA5;CD300LF;CLEC1B;FCGR1A;B2M;LAIR1;MICB;CD300A;SIGLEC10;HLA-B;HLA-C;LILRB1;HLA-A;PILRA;LILRB2;LILRB4;LILRB5;HLA-E;OSCAR;TREML1;TYROBP;JAML;SELL;TREML2;NECTIN2;SIGLEC5
Reactome_2022	CAP_up	Deposition Of New CENPA-containing Nucleosomes At Centromere R-HSA-606279	0.000394652878621515	5.51007002371327e-05	3.45516744688512	33.8825748433749	H2AX;H2AZ1;CENPU;CENPW;H2AC6;H2BC5;H2AC7;H2BC4;HJURP;H2BC17;CENPA;H2BC12;H2AJ;H4C15;H2BC21;H2AC20;H2BC11;OIP5;CENPN
Reactome_2022	CAP_up	Energy Dependent Regulation Of mTOR By LKB1-AMPK R-HSA-380972	0.000405611578749276	5.71147569121893e-05	5.01805605461731	49.0286559178486	CAB39;PRKAG1;PRKAB1;PPM1A;RRAGA;RRAGC;RHEB;RRAGD;LAMTOR2;LAMTOR1;LAMTOR4;LAMTOR3;LAMTOR5
Reactome_2022	CAP_up	FCERI Mediated MAPK Activation R-HSA-2871796	0.000405611578749276	5.71147569121893e-05	5.01805605461731	49.0286559178486	LYN;VAV3;MAP2K4;JUN;MAP3K1;SYK;FOS;RNASE1;VAV1;PLCG2;MAPK1;GRB2;MAPK3
Reactome_2022	CAP_up	Generic Transcription Pathway R-HSA-212436	0.000405775316296567	5.73799224118654e-05	1.36961615412323	13.3754194881989	RB1;CCNK;SPI1;SERPINE1;RBPJ;PSMD9;PSMD6;PSMD4;PSMD2;CHEK1;PIP4K2C;RNF111;ZNF18;ZNF282;PRKCB;MED8;PRKAB1;RRAGA;RRAGC;SCO2;DDIT3;PSME3;DDIT4;RRAGD;MAML3;DNA2;MYL9;TGFA;TP53BP2;NRBF2;ZNF267;NFE2;PLK3;CREBBP;JUN;PHC2;PRELID1;JAG1;CRADD;GADD45A;TPX2;AGO4;H2AC20;H2AX;BTG2;CDKN1A;ELL;CITED4;PRKAG1;ASH2L;BRCA1;MED16;MED12;CTSL;ELOC;H3-3B;PRMT5;RMI2;RMI1;TOP3A;GP1BA;FOS;H2AJ;PSMA4;MED20;RARA;PPARG;PCNA;CTDP1;ZNF350;COX5B;PPP2CA;RXRA;H3C13;PSMB3;BID;ZNF222;MBD4;CDKN2B;TIGAR;H2BC5;NR1H2;NFYC;H2BC4;GSR;HIPK1;PSMB8;GATAD2A;PSMB9;HIPK2;RYBP;NR6A1;PSMC1;CCNG2;CTNNB1;LAMTOR2;LAMTOR1;LAMTOR4;ZNF213;LAMTOR3;LAMTOR5;UBE2D3;ITGA2B;CCND3;SESN2;EP300;KMT5A;ZNF200;H2AC6;H2AC7;LMO2;CDC25C;NRBP1;CCNE2;H4C15;KAT6A;FKBP5;NOTCH2;PSMD12;NOTCH1;PSMD13;FOXO4;NDRG1;SOCS3;CCNB1;BCL2L11;UBC;ZKSCAN5;SKIL;ESRRA;CBX8;SMAD1;UBE2C;CBX3;CAV1;TNFRSF10C;NFKB1;BMP2;CDK7;TP53I3;BCL6;CDK5;UBE2S;RHEB;CNOT3;MDM2;CDK1;CNOT8;YWHAE;GSK3B;KDM5B;YWHAB;PTEN;SLC2A3;NR2E1;SUMO1;EXO1;H2BC21;CASP1;MYBL2;LBR;YWHAG;YWHAH;CR1;APAF1;RFC2;H2BC17;YWHAZ;CCNA2;H2BC12;PPM1A;TFDP1;RRM2B;H2BC11;BIRC5;HDAC4;HDAC5;CEBPB;SMARCD2;RNF34;SMARCD3;FURIN;RETN;NLRC4;PPM1D;THBS1;AURKB;AURKA;HDAC7;POLR2A;RBBP5;POLR2C;TP53INP1;E2F1;RBBP8;ZNF746;MAPK1;POLR2J;CAMK2G;E2F7;MAPK3;H2AZ1;PTPN1;RRM2;TAF12;TAF13;TXNRD1;ARID3A;MAPK14;PML;PINK1;RAD51;TAF7
Reactome_2022	CAP_up	TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312	0.000417938982514693	5.93493304525638e-05	3.58942381383682	34.9325228048245	PLK3;BTG2;CDKN1A;PCNA;GADD45A;ARID3A;CDC25C;AURKA;CCNA2;CCNB1;TFDP1;CCNE2;CNOT3;E2F1;CDK1;EP300;CNOT8;E2F7
Reactome_2022	CAP_up	MAP Kinase Activation R-HSA-450294	0.000420466251198306	5.99590895205222e-05	3.16785761371127	30.7974304267099	MAP2K3;MEF2A;MAP2K4;JUN;DUSP3;CHUK;FOS;NOD2;MAPK14;NFKB1;PPP2CA;TNIP2;RPS6KA1;MAPKAPK2;UBC;MAPK1;TAB3;MAP3K8;TAB2;IKBKG;MAPK3
Reactome_2022	CAP_up	Signaling By NTRK1 (TRKA) R-HSA-187037	0.000429478264636789	6.25004760886743e-05	2.41742261127386	23.4014640590129	RALB;YWHAB;SRF;CLTC;IRS2;PIK3CB;CRKL;PPP2CA;LYL1;RAP1A;RPS6KA1;EP300;MAPK1;MAPK3;MEF2A;EGR1;MAP2K2;DUSP3;KIDINS220;STAT3;FOS;MAPK14;RHOA;DNM2;MAPK13;FOSL1;CDK5;ADORA2A;MAPKAPK2;GRB2;TRIB1;CRK
Reactome_2022	CAP_up	Packaging Of Telomere Ends R-HSA-171306	0.000429478264636789	6.27114059734709e-05	4.55162889250444	44.0459635604077	H2AX;H2AZ1;H2AC6;H2BC5;H2AC7;H2BC4;TINF2;H2BC17;H2BC12;H2AJ;H4C15;H2BC21;H2AC20;H2BC11
