gene_symbol	D_meta	logFC_d	padj_d	logFC_v	padj_v
FILIP1L	-0.17824635535384906	-0.390830411183988	0.257843412177349	-0.3047741	0.384732735
ARHGEF5	-0.01528844014859937	0.390828654587801	0.43428367051586	-0.243837883	0.196796377
NEDD4	2.5726694147121822	0.390785811426372	0.0674515018707866	1.142689715	7.90021220890469e-05
NAF1	-3.9558665039502827	-0.390594327686109	0.151084539983353	-0.935187755	7.534183870890851e-09
SUSD3	-0.33672780716014983	-0.390461084728276	0.0189079672727005	-0.018288632	0.932804169
TGIF2	-0.8553143640877571	-0.39043562497464	0.0217647277398779	-0.458465899	0.004834924
ARMCX6	-0.526284222871026	-0.390414530036401	0.0020215059091244	-0.021241	0.93046611
DESI1	1.450272238763747	0.390210890592145	0.0025162962170301	0.418688219	3.12429925299975e-05
STXBP4	-6.673080917006411	-0.389958766464875	0.357878427291872	-1.330481264	2.5811392789270096e-11
PDIA5	0.22129078581353734	0.389897775462474	0.153031974230038	0.237129882	0.297852685
AMZ2	0.03711455760236433	-0.389805721818868	0.292454005107469	0.256804468	0.079519752
THRA	-1.354766799905378	-0.389781087783692	0.200439573861236	-0.606979184	9.64444106394443e-05
BIRC2	3.070061854136551	0.38962867830257	0.0009368341103508	0.751240932	2.49548561425923e-07
VWA8	-0.08540113749130626	-0.389410243040131	0.370524412486401	-0.043820172	0.858878136
DNAH6	-9.555538601533897	-0.38940306982726	0.386688682891976	-1.924064719	4.15317633144525e-11
RNF13	6.196234128685594	0.389393378219589	0.0098200421294113	1.370787374	3.2882057265473e-09
MINDY1	5.915057308411571	0.38933244365476	0.0050535349239216	1.369910528	1.02982576361632e-08
MYLIP	2.457446872584436	0.389323265454495	0.0004664380712652	0.991536244	0.00022446
VARS2	-2.327295570283901	-0.389320970815138	0.0506025515576299	-1.071816283	0.000134269
ZBTB14	-3.507876894397729	-0.389275263870331	0.0001433420289134	-0.732947395	2.93721300943945e-08
SLC12A4	0.14282300869256206	0.389252210861752	0.194528187623995	0.055263361	0.690714544
CRY2	-1.4016505116799294	-0.389119000796629	0.0006867984512991	-0.452634287	0.000335738
ZNF721	-3.400826375771072	-0.389040498611656	0.0044613169126906	-0.75499483	1.58342796412375e-08
POMP	5.092774536947062	0.388902194513742	0.0001303766361399	1.185493183	4.80490969968152e-08
GMPPB	0.1319535123567686	0.388767362409872	0.199692730396193	-0.061372927	0.738234594
MTRFR	-2.9796513168712346	-0.38863762330371	0.0567415152068671	-0.763576114	6.74714235533317e-08
DNAJB4	0.29345129084496047	0.388538511522307	0.357280979944107	0.268719532	0.028988566
KDELR2	1.3367357081181828	0.388531665391897	0.0327194557644451	0.446131395	1.99928300504185e-05
YIPF5	1.107532168000356	0.388479165044675	0.266520234165848	0.477675044	6.75861883352101e-05
PTPN2	0.1907088488613856	0.388308828972092	0.334012324843812	0.184222237	0.085783796
GORAB	-1.5160347687142175	-0.38801281266051	0.0057958494508396	-0.62420357	0.000341172
C6orf136	-0.8852714042936385	-0.388012547121371	0.0001568787054711	-0.288971034	0.095786146
GCC1	4.195828572335142	0.387969966740051	7.80487824088644e-05	0.958108977	8.02071300133878e-08
